#,Priority,problemUrl,topic,subTopic,striver_video,neetcode_video
63,Must Do,https://leetcode.com/problems/range-sum-query-2d-immutable,Arrays,Prefix Sums,,
64,Must Do,https://leetcode.com/problems/count-number-of-nice-subarrays,Arrays,Prefix Sums,▶ Striver,▶ NeetCode
65,Must Do,https://leetcode.com/problems/maximum-subarray,Arrays,Prefix Sums,▶ Striver,▶ NeetCode
66,Good To Do,https://codeforces.com/problemset/problem/1118/B,Arrays,Prefix Sums,,
67,Good To Do,https://codeforces.com/problemset/problem/295/A,Arrays,Prefix Sums,,
68,Good To Do,https://www.codechef.com/problems/FILTRATE,Arrays,Prefix Sums,,
69,Good To Do,https://www.geeksforgeeks.org/equilibrium-index-of-an-array,Arrays,Prefix Sums,,
70,Good To Do,https://www.geeksforgeeks.org/largest-subarray-with-equal-number-of-0s-and-1s,Arrays,Prefix Sums,,
71,Good To Do,https://www.geeksforgeeks.org/prefix-sum-2d-array,Arrays,Prefix Sums,,
72,Good To Do,https://www.interviewbit.com/problems/range-sum-query,Arrays,Prefix Sums,,
73,Must Do,https://leetcode.com/problems/summary-ranges,Arrays,Merge Intervals,,
74,Must Do,https://leetcode.com/problems/meeting-rooms,Arrays,Merge Intervals,,
75,Must Do,https://leetcode.com/problems/check-if-all-1s-are-at-least-length-k-places-away,Arrays,Merge Intervals,,
76,Must Do,https://leetcode.com/problems/merge-intervals,Arrays,Merge Intervals,▶ Striver,▶ NeetCode
77,Must Do,https://leetcode.com/problems/insert-interval,Arrays,Merge Intervals,▶ Striver,▶ NeetCode
78,Must Do,https://leetcode.com/problems/meeting-rooms-ii,Arrays,Merge Intervals,,
79,Must Do,https://leetcode.com/problems/non-overlapping-intervals,Arrays,Merge Intervals,▶ Striver,▶ NeetCode
80,Must Do,https://leetcode.com/problems/interval-list-intersections,Arrays,Merge Intervals,,
81,Must Do,https://leetcode.com/problems/employee-free-time,Arrays,Merge Intervals,,
82,Must Do,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons,Arrays,Merge Intervals,▶ Striver,▶ NeetCode
83,Good To Do,https://codeforces.com/problemset/problem/645/C,Arrays,Merge Intervals,,
84,Good To Do,https://www.geeksforgeeks.org/activity-selection-problem-greedy-algo-1,Arrays,Merge Intervals,▶ Striver,▶ NeetCode
85,Good To Do,https://www.geeksforgeeks.org/n-meetings-in-one-room,Arrays,Merge Intervals,,
86,Good To Do,https://www.interviewbit.com/problems/merge-intervals,Arrays,Merge Intervals,,
87,Good To Do,https://www.interviewbit.com/problems/merge-overlapping-intervals,Arrays,Merge Intervals,,
88,Must Do,https://leetcode.com/problems/longest-common-prefix,Arrays,String Basics & Manipulation,▶ Striver,▶ NeetCode
89,Good To Do,https://codeforces.com/problemset/problem/1734/B,Arrays,String Basics & Manipulation,,
90,Good To Do,https://www.codechef.com/problems/PALIN,Arrays,String Basics & Manipulation,,
91,Good To Do,https://www.codechef.com/problems/SUBCOUNT,Arrays,String Basics & Manipulation,,
92,Good To Do,https://www.geeksforgeeks.org/anagram-substring-search-search-permutations,Arrays,String Basics & Manipulation,,
93,Good To Do,https://www.geeksforgeeks.org/check-if-a-string-is-palindrome,Arrays,String Basics & Manipulation,,
94,Good To Do,https://www.interviewbit.com/problems/palindrome-partitioning,Arrays,String Basics & Manipulation,,
95,Must Do,https://leetcode.com/problems/merge-sorted-array,Arrays,Sorting,▶ Striver,▶ NeetCode
96,Must Do,https://leetcode.com/problems/sort-list,Arrays,Sorting,▶ Striver,▶ NeetCode
97,Extra,https://codeforces.com/problemset/problem/1611/C,Arrays,Sorting,,
98,Extra,https://leetcode.com/problems/h-index,Arrays,Sorting,,
99,Extra,https://leetcode.com/problems/largest-number,Arrays,Sorting,,
100,Extra,https://leetcode.com/problems/minimum-difference-between-highest-and-lowest-of-k-scores,Arrays,Sorting,,
101,Extra,https://leetcode.com/problems/sort-an-array,Arrays,Sorting,▶ Striver,▶ NeetCode
102,Extra,https://leetcode.com/problems/wiggle-sort-ii,Arrays,Sorting,,
103,Extra,https://www.codechef.com/problems/INVCNT,Arrays,Sorting,,
104,Must Do,https://leetcode.com/problems/binary-search,Binary Search,,▶ Striver,▶ NeetCode
105,Must Do,https://leetcode.com/problems/search-insert-position,Binary Search,,▶ Striver,▶ NeetCode
106,Must Do,https://leetcode.com/problems/guess-number-higher-or-lower,Binary Search,,,
107,Must Do,https://leetcode.com/problems/first-bad-version,Binary Search,,,
108,Must Do,https://leetcode.com/problems/valid-perfect-square,Binary Search,,,
109,Must Do,https://leetcode.com/problems/sqrtx,Binary Search,,▶ Striver,▶ NeetCode
110,Must Do,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,Binary Search,,▶ Striver,▶ NeetCode
111,Must Do,https://leetcode.com/problems/search-a-2d-matrix,Binary Search,,▶ Striver,▶ NeetCode
112,Must Do,https://leetcode.com/problems/search-in-a-binary-search-tree,Binary Search,,▶ Striver,▶ NeetCode
113,Must Do,https://leetcode.com/problems/insert-into-a-binary-search-tree,Binary Search,,▶ Striver,▶ NeetCode
114,Must Do,https://leetcode.com/problems/minimum-absolute-difference-in-bst,Binary Search,,,
115,Must Do,https://leetcode.com/problems/range-sum-of-bst,Binary Search,,,
116,Must Do,https://leetcode.com/problems/increasing-order-search-tree,Binary Search,,,
117,Must Do,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal,Binary Search,,▶ Striver,▶ NeetCode
118,Good To Do,https://codeforces.com/problemset/problem/1201/C,Binary Search,,,
119,Good To Do,https://codeforces.com/problemset/problem/1264/D,Binary Search,,,
120,Good To Do,https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,Binary Search,,,
121,Good To Do,https://www.codechef.com/problems/BSTOPS,Binary Search,,,
122,Good To Do,https://www.codechef.com/problems/PRATA,Binary Search,,,
123,Good To Do,https://www.geeksforgeeks.org/aggressive-cows-problem,Binary Search,,,
124,Good To Do,https://www.geeksforgeeks.org/aggressive-cows-problem-binary-search,Binary Search,,,
125,Good To Do,https://www.geeksforgeeks.org/allocate-minimum-number-pages,Binary Search,,▶ Striver,▶ NeetCode
126,Good To Do,https://www.geeksforgeeks.org/binary-search,Binary Search,,,
127,Good To Do,https://www.geeksforgeeks.org/binary-search-tree-set-1-search-and-insertion,Binary Search,,,
128,Good To Do,https://www.geeksforgeeks.org/count-occurrences-in-a-sorted-array,Binary Search,,,
129,Good To Do,https://www.geeksforgeeks.org/floor-in-a-sorted-array,Binary Search,,▶ Striver,▶ NeetCode
130,Good To Do,https://www.geeksforgeeks.org/floor-in-binary-search-tree-bst,Binary Search,,▶ Striver,▶ NeetCode
131,Good To Do,https://www.geeksforgeeks.org/inorder-traversal-of-a-threaded-binary-tree,Binary Search,,,
132,Good To Do,https://www.interviewbit.com/problems/matrix-search,Binary Search,,,
133,Must Do,https://leetcode.com/problems/count-of-range-sum,Binary Search,Counting Occurrences,,
134,Must Do,https://leetcode.com/problems/count-negative-numbers-in-a-sorted-matrix,Binary Search,Counting Occurrences,,
135,Must Do,https://leetcode.com/problems/search-in-rotated-sorted-array,Binary Search,Range Search,▶ Striver,▶ NeetCode
136,Must Do,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Binary Search,Range Search,▶ Striver,▶ NeetCode
137,Must Do,https://leetcode.com/problems/find-peak-element,Binary Search,Range Search,▶ Striver,▶ NeetCode
138,Must Do,https://leetcode.com/problems/single-element-in-a-sorted-array,Binary Search,Range Search,▶ Striver,▶ NeetCode
139,Must Do,https://leetcode.com/problems/find-in-mountain-array,Binary Search,Bitonic Array Search,,
140,Must Do,https://leetcode.com/problems/peak-index-in-a-mountain-array,Binary Search,Bitonic Array Search,,
141,Must Do,https://leetcode.com/problems/valid-mountain-array,Binary Search,Bitonic Array Search,,
142,Must Do,https://leetcode.com/problems/missing-number,Binary Search,Range Search,▶ Striver,▶ NeetCode
143,Must Do,https://leetcode.com/problems/koko-eating-bananas,Binary Search,Allocation Problems,▶ Striver,▶ NeetCode
144,Must Do,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,Binary Search,Allocation Problems,▶ Striver,▶ NeetCode
145,Must Do,https://leetcode.com/problems/minimum-number-of-days-to-make-m-bouquets,Binary Search,Allocation Problems,▶ Striver,▶ NeetCode
146,Must Do,https://leetcode.com/problems/find-k-closest-elements,Binary Search,Counting Occurrences,,
147,Must Do,https://www.interviewbit.com/problems/painters-partition-problem,Binary Search,Allocation Problems,,
148,Must Do,https://leetcode.com/problems/split-array-largest-sum,Binary Search,Allocation Problems,▶ Striver,▶ NeetCode
149,Must Do,https://leetcode.com/problems/count-of-smaller-numbers-after-self,Binary Search,Counting Occurrences,,
150,Extra,https://www.codechef.com/problems/ALLOCATE,Binary Search,Allocation Problems,,
151,Extra,https://codeforces.com/problemset/problem/1517/C,Binary Search,Bitonic Array Search,,
152,Extra,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Binary Search,Bitonic Array Search,▶ Striver,▶ NeetCode
153,Extra,https://leetcode.com/problems/longest-mountain-in-array,Binary Search,Bitonic Array Search,,
154,Extra,https://codeforces.com/problemset/problem/1295/D,Binary Search,Counting Occurrences,,
155,Extra,https://www.interviewbit.com/problems/count-element-occurence,Binary Search,Counting Occurrences,,
156,Extra,https://codeforces.com/problemset/problem/1468/H,Binary Search,Range Search,,
157,Extra,https://leetcode.com/problems/find-right-interval,Binary Search,Range Search,,
158,Extra,https://leetcode.com/problems/time-based-key-value-store,Binary Search,Range Search,,
159,Extra,https://www.codechef.com/problems/LOWBOUND,Binary Search,Range Search,,
160,Extra,https://www.interviewbit.com/problems/search-for-a-range,Binary Search,Range Search,,
